space_name,visit_type,movement_type,destination_1,destination_2,destination_3,destination_4,destination_5,condition_1,condition_2,condition_3,condition_4,condition_5
START-QUICK-PLAY-GUIDE,First,none,,,,,,,,,,
START-QUICK-PLAY-GUIDE,Subsequent,none,,,,,,,,,,
OWNER-SCOPE-INITIATION,First,dice,,,,,,,,,,
OWNER-SCOPE-INITIATION,Subsequent,dice,,,,,,,,,,
OWNER-FUND-INITIATION,First,fixed,PM-DECISION-CHECK,,,,,,,,,
OWNER-FUND-INITIATION,Subsequent,fixed,PM-DECISION-CHECK,,,,,,,,,
PM-DECISION-CHECK,First,dice,,,,,,,,,,
PM-DECISION-CHECK,Subsequent,choice,LEND-SCOPE-CHECK,ARCH-INITIATION,CHEAT-BYPASS,PM-DECISION-CHECK,OWNER-DECISION-REVIEW,,,,,
LEND-SCOPE-CHECK,First,dice,,,,,,,,,,
LEND-SCOPE-CHECK,Subsequent,dice,,,,,,,,,,
BANK-FUND-REVIEW,First,fixed,PM-DECISION-CHECK,,,,,,,,,
BANK-FUND-REVIEW,Subsequent,fixed,PM-DECISION-CHECK,,,,,,,,,
INVESTOR-FUND-REVIEW,First,dice,,,,,,,,,,
INVESTOR-FUND-REVIEW,Subsequent,dice,,,,,,,,,,
ARCH-INITIATION,First,dice,,,,,,,,,,
ARCH-INITIATION,Subsequent,dice,,,,,,,,,,
ARCH-FEE-REVIEW,First,dice,,,,,,,,,,
ARCH-FEE-REVIEW,Subsequent,dice,,,,,,,,,,
ARCH-SCOPE-CHECK,First,dice,,,,,,,,,,
ARCH-SCOPE-CHECK,Subsequent,dice,,,,,,,,,,
ENG-INITIATION,First,dice,,,,,,,,,,
ENG-INITIATION,Subsequent,dice,,,,,,,,,,
ENG-FEE-REVIEW,First,dice,,,,,,,,,,
ENG-FEE-REVIEW,Subsequent,dice,,,,,,,,,,
ENG-SCOPE-CHECK,First,dice,,,,,,,,,,
ENG-SCOPE-CHECK,Subsequent,dice,,,,,,,,,,
OWNER-DECISION-REVIEW,First,dice,,,,,,,,,,
OWNER-DECISION-REVIEW,Subsequent,dice,,,,,,,,,,
CHEAT-BYPASS,First,dice,,,,,,,,,,
CHEAT-BYPASS,Subsequent,dice,,,,,,,,,,
REG-DOB-FEE-REVIEW,First,dice,,,,,,,,,,
REG-DOB-FEE-REVIEW,Subsequent,dice,,,,,,,,,,
REG-DOB-TYPE-SELECT,First,choice,REG-DOB-PLAN-EXAM,REG-DOB-PROF-CERT,,,,,,,,
REG-DOB-TYPE-SELECT,Subsequent,choice,REG-DOB-PLAN-EXAM,REG-DOB-PROF-CERT,,,,,,,,
REG-DOB-PLAN-EXAM,First,dice,,,,,,,,,,
REG-DOB-PLAN-EXAM,Subsequent,dice,,,,,,,,,,
REG-DOB-PROF-CERT,First,dice,,,,,,,,,,
REG-DOB-PROF-CERT,Subsequent,dice,,,,,,,,,,
REG-DOB-AUDIT,First,dice,,,,,,,,,,
REG-DOB-AUDIT,Subsequent,dice,,,,,,,,,,
REG-FDNY-FEE-REVIEW,First,choice,CON-INITIATION,PM-DECISION-CHECK,REG-DOB-TYPE-SELECT,REG-FDNY-PLAN-EXAM,,,,,,
REG-FDNY-FEE-REVIEW,Subsequent,choice,CON-INITIATION,PM-DECISION-CHECK,REG-DOB-TYPE-SELECT,REG-FDNY-PLAN-EXAM,,,,,,
REG-FDNY-PLAN-EXAM,First,dice,,,,,,,,,,
REG-FDNY-PLAN-EXAM,Subsequent,dice,,,,,,,,,,
CON-INITIATION,First,dice,,,,,,,,,,
CON-INITIATION,Subsequent,fixed,CON-ISSUES,,,,,,,,,
CON-ISSUES,First,dice,,,,,,,,,,
CON-ISSUES,Subsequent,dice,,,,,,,,,,
CON-INSPECT,First,dice,,,,,,,,,,
CON-INSPECT,Subsequent,dice,,,,,,,,,,
REG-DOB-FINAL-REVIEW,First,dice,,,,,,,,,,
REG-DOB-FINAL-REVIEW,Subsequent,dice,,,,,,,,,,
FINISH,First,none,,,,,,,,,,
FINISH,Subsequent,none,,,,,,,,,,
